ticks,pid,priority,pticks
1488,4,3,297
1489,4,3,298
1490,4,3,299
1491,5,3,280
1492,5,3,281
1493,5,3,282
1494,5,3,283
1495,5,3,284
1496,5,3,285
1497,5,3,286
1498,5,3,287
1499,5,3,288
1500,5,3,289
1501,5,3,290
1502,5,3,291
1503,5,3,292
1504,5,3,293
1505,5,3,294
1506,5,3,295
1507,5,3,296
1508,5,3,297
1509,5,3,298
1510,5,3,299
1511,6,3,280
1512,6,3,281
1513,6,3,282
1514,6,3,283
1515,6,3,284
1516,6,3,285
1517,6,3,286
1518,6,3,287
1519,6,3,288
1520,6,3,289
1521,6,3,290
1522,6,3,291
1523,6,3,292
1524,6,3,293
1525,6,3,294
1526,6,3,295
1527,6,3,296
1528,6,3,297
1529,6,3,298
1530,6,3,299
1531,7,3,440
1532,7,3,441
1533,7,3,442
1534,7,3,443
1535,7,3,444
1536,7,3,445
1537,7,3,446
1538,7,3,447
1539,7,3,448
1540,7,3,449
1541,7,3,450
1542,7,3,451
1543,7,3,452
1544,5,3,300
1545,5,3,301
1546,5,3,302
1547,5,3,303
1548,5,3,304
1549,5,3,305
1550,5,3,306
1551,5,3,307
1552,5,3,308
1553,5,3,309
1554,5,3,310
1555,5,3,311
1556,5,3,312
1557,5,3,313
1558,5,3,314
1559,5,3,315
1560,5,3,316
1561,5,3,317
1562,5,3,318
1563,5,3,319
1564,6,3,300
1565,6,3,301
1566,6,3,302
1567,6,3,303
1568,6,3,304
1569,6,3,305
1570,6,3,306
1571,6,3,307
1572,6,3,308
1573,6,3,309
1574,6,3,310
1575,6,3,311
1576,6,3,312
1577,6,3,313
1578,6,3,314
1579,6,3,315
1580,6,3,316
1581,6,3,317
1582,6,3,318
1583,6,3,319
1584,6,3,320
1585,6,3,321
1586,6,3,322
1587,6,3,323
1588,6,3,324
1589,6,3,325
1590,6,3,326
1591,6,3,327
1592,6,3,328
1593,6,3,329
1594,6,3,330
1595,6,3,331
1596,6,3,332
1597,6,3,333
1598,6,3,334
1599,6,3,335
1600,6,3,336
1601,6,3,337
1602,4,2,10
1603,4,2,11
1604,4,2,12
1605,4,2,13
1606,4,2,14
1607,5,3,320
1608,4,2,15
1609,5,3,321
1610,4,2,16
1611,5,3,322
1612,4,2,17
1613,5,3,323
1614,4,2,18
1615,5,3,324
1616,4,2,19
1617,5,3,325
1618,5,3,326
1619,5,3,327
1620,5,3,328
1621,5,3,329
1622,5,3,330
1623,5,3,331
1624,5,3,332
1625,5,3,333
1626,5,3,334
1627,5,3,335
1628,5,3,336
1629,5,3,337
1630,5,3,338
1631,5,3,339
1632,6,3,338
1633,6,3,339
1634,5,3,340
1635,5,3,341
1636,5,3,342
1637,5,3,343
1638,5,3,344
1639,5,3,345
1640,5,3,346
1641,5,3,347
1642,5,3,348
1643,5,3,349
1644,5,3,350
1645,5,3,351
1646,5,3,352
1647,5,3,353
1648,5,3,354
1649,5,3,355
1650,5,3,356
1651,5,3,357
1652,5,3,358
1653,5,3,359
1654,6,3,340
1655,6,3,341
1656,6,3,342
1657,6,3,343
1658,6,3,344
1659,6,3,345
1660,6,3,346
1661,6,3,347
1662,6,3,348
1663,6,3,349
1664,6,3,350
1665,6,3,351
1666,6,3,352
1667,6,3,353
1668,6,3,354
1669,6,3,355
1670,6,3,356
1671,6,3,357
1672,6,3,358
